RegionName,year,zhvi,state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,homeownership_rate,price_to_income_ratio,MSPUS,MORTGAGE30US,HOUST,CSUSHPINSA,RHORUSQ156N,MSACSR
Alabama,2010,125684.40599817276,Alabama,42081,117600,644,1821210,1295320,525890,4712651,1,71.1,2.7946103942396805,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Alabama,2012,121658.98695777968,Alabama,43160,122300,691,1837576,1289324,548252,4777326,1,70.2,2.8336422613531047,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Alabama,2014,133206.0903315903,Alabama,43511,123800,715,1842174,1274196,567978,4817678,1,69.2,2.8452575210866216,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Alabama,2016,139962.93032955003,Alabama,44758,128500,728,1851061,1267824,583237,4841164,1,68.5,2.8709951293623486,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Alabama,2018,149763.20909293127,Alabama,48486,137200,772,1860269,1275223,585046,4864680,1,68.6,2.829682795033618,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Alabama,2020,170808.71083013903,Alabama,52035,149600,811,1888504,1306505,581999,4893186,1,69.2,2.8749879888536563,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Alabama,2022,218554.76518768308,Alabama,59609,179400,925,1933150,1347792,585358,5028092,1,69.7,3.009612642386217,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Alabama,2023,224284.42303805656,Alabama,62027,195100,963,1969105,1377062,592043,5054253,1,69.9,3.145404420655521,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Alaska,2010,245873.32613719042,Alaska,66521,229100,972,248248,160622,87626,691189,2,64.7,3.4440251950511866,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Alaska,2012,248437.97607441118,Alaska,69917,237900,1065,252991,162891,90100,711139,2,64.4,3.4026059470515038,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Alaska,2014,260724.21754187156,Alaska,71829,246300,1131,251678,159415,92263,728300,2,63.3,3.4289771540742597,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Alaska,2016,277447.6324193343,Alaska,74444,257100,1173,250235,159313,90922,736855,2,63.7,3.453602708075869,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Alaska,2018,283844.01532787,Alaska,76715,265200,1231,253462,162172,91290,738516,2,64.0,3.4569510525972755,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Alaska,2020,312052.21177691984,Alaska,77790,275600,1240,255173,165376,89797,736990,2,64.8,3.542871834426019,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Alaska,2022,350571.4623476909,Alaska,86370,318000,1345,264376,175198,89178,734821,2,66.3,3.6818339701285168,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Alaska,2023,353925.9282788187,Alaska,89336,333300,1388,267865,178369,89496,733971,2,66.6,3.7308587803349154,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Arizona,2010,157836.33675769228,Arizona,50448,215000,856,2326468,1568513,757955,6246816,4,67.4,4.261814145258484,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Arizona,2012,147437.4826859253,Arizona,50256,175900,891,2357158,1544719,812439,6410979,4,65.5,3.500079592486469,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Arizona,2014,192349.73893761184,Arizona,49928,162900,905,2387246,1513294,873952,6561516,4,63.4,3.262698285531165,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Arizona,2016,219546.27868946237,Arizona,51340,176900,937,2448919,1531878,917041,6728577,4,62.6,3.445656408258668,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Arizona,2018,252412.5098401477,Arizona,56213,209600,1009,2524300,1606065,918235,6946685,4,63.6,3.7286748616867986,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Arizona,2020,295886.2923850681,Arizona,61529,242000,1097,2643430,1727176,916254,7174064,4,65.3,3.9331047148499083,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Arizona,2022,441928.48324257875,Arizona,72581,321400,1308,2739136,1815352,923784,7172282,4,66.3,4.42815612901448,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Arizona,2023,423525.5976967868,Arizona,76872,358900,1431,2796790,1873231,923559,7268175,4,67.0,4.668800083255282,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
Arkansas,2010,120666.4798173275,Arkansas,39267,102300,617,1117154,756358,360796,2872684,5,67.7,2.605241042096417,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
Arkansas,2012,118784.72319780818,Arkansas,40531,106300,649,1128797,758814,369983,2916372,5,67.2,2.6226838716044507,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
Arkansas,2014,124354.35476839107,Arkansas,41264,108700,675,1132488,753620,378868,2947036,5,66.5,2.634257464133385,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
Arkansas,2016,134350.76271092967,Arkansas,42336,114700,689,1141480,749452,392028,2968472,5,65.7,2.709278155706727,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
Arkansas,2018,144020.15174059384,Arkansas,45726,123300,729,1152175,756431,395744,2990671,5,65.7,2.6964965227660413,325275.0,4.544615384615384,1246.8333333333333,202.42791666666668,64.425,6.175
Arkansas,2020,158734.50268268873,Arkansas,49475,133600,760,1170544,770477,400067,3011873,5,65.8,2.700353713996968,328150.0,3.111698113207547,1394.3333333333333,222.06316666666666,66.6,4.625
Arkansas,2022,200133.01306918488,Arkansas,56335,162400,868,1171694,775956,395738,3018669,5,66.2,2.882754948078459,432950.0,5.344038461538461,1551.5,298.32533333333333,65.775,8.483333333333333
Arkansas,2023,205064.65995561634,Arkansas,58773,175300,914,1189160,786534,402626,3032651,5,66.1,2.982662106749698,426525.0,6.806730769230769,1420.5833333333333,305.7504166666667,65.9,7.875
California,2010,304768.70530202455,California,60883,458500,1147,12392852,7112050,5280802,36637290,6,57.4,7.530837836506086,222700.0,4.689807692307692,585.5,144.66108333333332,66.85,8.0
California,2012,283504.5238978657,California,61400,383900,1209,12466331,6978397,5487934,37325068,6,56.0,6.252442996742671,244400.0,3.6574999999999998,783.75,140.97799999999998,65.45,4.758333333333334
California,2014,384372.7009853879,California,61489,371400,1243,12617280,6908925,5708355,38066920,6,54.8,6.0401047341800975,285775.0,4.168867924528302,1000.25,164.66633333333334,64.475,5.4750000000000005
California,2016,440246.74167494354,California,63783,409300,1297,12807387,6929007,5878380,38654206,6,54.1,6.41707037925466,305125.0,3.6540384615384616,1177.0833333333333,180.89083333333335,63.4,5.208333333333333
