state_name,median_household_income,median_home_value,median_gross_rent,total_occupied_units,owner_occupied_units,renter_occupied_units,total_population,state_fips,year,homeownership_rate,price_to_income_ratio
Montana,45456,183000,667,405508,277816,127692,990785,30,2012,68.5,4.03
Nebraska,51381,126700,687,721026,487740,233286,1827306,31,2012,67.6,2.47
Nevada,54083,190900,1001,992896,574281,418615,2704204,32,2012,57.8,3.53
New Hampshire,64925,245600,972,516845,372021,144824,1317474,33,2012,72.0,3.78
New Jersey,71637,337900,1154,3186878,2108166,1078712,8793888,34,2012,66.2,4.72
New Mexico,44886,161500,736,763844,526495,237349,2055287,35,2012,68.9,3.6
New York,57683,295300,1061,7230896,3940688,3290208,19398125,36,2012,54.5,5.12
North Carolina,46450,153600,759,3693221,2477360,1215861,9544249,37,2012,67.1,3.31
North Dakota,51641,123900,610,282667,187567,95100,676253,38,2012,66.4,2.4
Ohio,48246,133700,710,4555709,3098283,1457426,11533561,39,2012,68.0,2.77
Oklahoma,44891,110800,679,1439292,971017,468275,3749005,40,2012,67.5,2.47
Oregon,50036,246100,854,1512718,945824,566894,3836628,41,2012,62.5,4.92
Pennsylvania,52267,164900,794,4959633,3478602,1481031,12699589,42,2012,70.1,3.15
Rhode Island,56102,259400,908,410639,251217,159422,1052471,44,2012,61.2,4.62
South Carolina,44623,137400,749,1768255,1228200,540055,4630351,45,2012,69.5,3.08
South Dakota,49091,129800,617,320467,219882,100585,815871,46,2012,68.6,2.64
Tennessee,44140,138700,726,2468841,1687700,781141,6353226,47,2012,68.4,3.14
Texas,51563,128000,834,8782598,5609007,3173591,25208897,48,2012,63.9,2.48
Vermont,54168,215800,864,256830,182744,74086,625498,50,2012,71.2,3.98
Utah,58164,217800,839,880873,620475,260398,2766233,49,2012,70.4,3.74
Virginia,63636,249700,1060,3006219,2038207,968012,8014955,51,2012,67.8,3.92
Washington,59374,272900,951,2619995,1671388,948607,6738714,53,2012,63.8,4.6
